Gene,Sign,locus
csgA,+,b1042
csgC,+,b1043
csgB,+,b1041
csgA,+,b1042
csgC,+,b1043
csgB,+,b1041
csgA,+,b1042
csgC,+,b1043
csgB,+,b1041
csgA,+,b1042
csgC,-,b1043
csgB,-,b1041
csgA,-,b1042
csgC,-,b1043
csgB,-,b1041
csgA,-,b1042
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,-,b1037
csgF,-,b1038
csgE,-,b1039
csgD,-,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
csgF,+,b1038
csgE,+,b1039
csgD,+,b1040
csgG,+,b1037
